# 합언어 정답 한국어 초안 — 번호<TAB>원문<TAB>한국어<TAB>편지(없으면 배포용)
0	きぼうのほし	희망의별	475
1	ここよりとわに	여기서영원히	476
2	つたえたいあい	전하고픈마음	470
3	アタシのあにき	우리오빠	469
4	あけのみょうじょう	샛별	458
5	たいせつなひと	소중한사람	465
6	いちりんのはな	한송이꽃	463
7	なつのそら	여름하늘	477
8	さりげないいのり	작은기도	461
9	あなたとわたし	당신과나	478
10	きいろいてんし	노란천사	459
11	あいするこころ	사랑하는마음	466
12	おもいでがいたい	추억이아파	456
13	かがみのうみ	거울바다	464
14	ボクのいもうと	내여동생	468
15	ぼうけんのはじまりだ	모험의시작이다	457
16	こおれるとき	멈춘시간	479
17	めでたいあたま	태평한머리	480
18	こころのてき	마음의적	481
19	つよくけだかく	강하고고귀하게	471
20	ろまんのせかい	로망의세계	496
21	まんげつのよる	보름달밤	462
22	せかいのひほう	세계의보물	472
23	ラスボスよりつよい	보스보다강해
24	れあカード⑭かいほう	희귀카드⑭
25	まだみぬかくしカード	숨은카드
26	じげんのはざま	차원의틈
27	チョコボだいスキ	초코보좋아
28	あいラヴまんどらゴラ	만드라고라사랑
29	ぽっぷ★アップうぅ！	팝★업이다！
30	ポップ↓してる！？	팝↓하는중！？
31	ひーろーはダレだ！？	히어로는누구！？
32	プレイキャラついか☆	동료추가☆
33	エホンはつばいキネン	발매기념
34	マサカの⑬しんカード	설마⑬신카드
35	ひろがる◎センリャク	넓어지는◎전략
36	めざせショウゴウおう	노려라칭호왕
37	アイツはトリじゃナイ	새가아니다
38	☆★ちょこっと┏★☆	☆★초코한입┏★☆
39	Уフレイム&アイスУ	У불꽃&얼음У
40	ロマンがまっている！	로망이기다려！
41	「の」じゃないんです	「의」가아니다
42	あいとまこと	사랑과마음
43	あいこそすべて	사랑이전부
44	あそびにこいよ	놀러와
45	たいせつないのち	소중한생명
46	つよいこころ	강한마음
47	だいすき	정말좋아
48	とれじゃーはんと	트레저헌트
49	ないつおぶらうんど	나이츠오브라운드
50	ほわいとういんど	화이트윈드
51	ぐんぐにる	궁니르
52	だーくぶれいく	다크브레이크
53	とまらないろまん	멈추지않는로망
54	やるなあんた	제법이다
55	まけないぜ	지지않아
56	こいつてんさい	천재다
57	ぴるえっとぱどぅしゃ	피루엣파드샤
