romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	0	cp932	б
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	1	cp932	об:なにもない状態のこと
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	3	cp932	金
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	4	cp932	о金:さびない
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	6	cp932	呪
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	7	cp932	о呪:呪われている
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	9	cp932	聖
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	10	cp932	о聖:呪われない
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	12	cp932	三
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	13	cp932	о三:３方向に 攻撃できる
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	15	cp932	絶
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	16	cp932	о絶:きたえる・合成┏
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	18	cp932	福
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	19	cp932	о福:Ｌｖが あがりやすい
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	21	cp932	銭
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	22	cp932	о銭:ギルが たまりやすい
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	24	cp932	宝
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	25	cp932	о宝:アイテムが出やすい
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	27	cp932	貧
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	28	cp932	о貧:てきがなにも落とさない
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	30	cp932	満
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	31	cp932	о満:おなかが へらない
romdata/DT/DT_ALL.FBC.z	DT_ARP_TYPE.FBC/dt_ARP_TYPE.txtbin	33	cp932	軽
